metagenome	level 1	level 2	level 3	function	abundance	avg eValue	avg % ident	avg align len	# hits	
4698560.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	223	-19.08	91.07	52.21	21	
4698570.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	64	-17.84	92.35	49.27	12	
4698546.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	98	-18.72	91.19	50.99	18	
4698578.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	267	-21.30	87.77	57.54	18	
4698553.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	155	-20.08	91.89	53.02	16	
4698542.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	86	-15.97	91.48	45.71	20	
4698574.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	68	-19.52	91.63	52.58	12	
4698551.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	152	-18.95	91.63	51.56	18	
4698569.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	145	-20.25	91.64	53.78	16	
4698548.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	257	-19.57	91.09	52.51	22	
4698554.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	29	-18.72	89.53	51.62	9	
4698562.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	32	-18.81	88.67	52.56	11	
4698582.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	297	-20.31	92.70	53.07	26	
4698577.3	Nitrogen Metabolism	-	Allantoin Utilization	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	243	-20.26	91.42	53.55	20	
4698542.3	Nitrogen Metabolism	-	Allantoin Utilization	Allantoate amidohydrolase (EC 3.5.3.9)	1	-5.00	74.07	27.00	1	
4698542.3	Nitrogen Metabolism	-	Allantoin Utilization	Allantoinase (EC 3.5.2.5)	1	-5.00	72.41	29.00	1	
4698574.3	Nitrogen Metabolism	-	Allantoin Utilization	Allantoinase (EC 3.5.2.5)	1	-5.00	72.41	29.00	1	
4698582.3	Nitrogen Metabolism	-	Allantoin Utilization	Allantoinase (EC 3.5.2.5)	1	-5.00	72.41	29.00	1	
4698560.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	4	-27.50	84.13	70.25	2	
4698570.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1	-29.00	80.00	75.00	1	
4698546.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	9	-11.00	85.67	37.50	2	
4698578.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	6	-25.00	80.65	67.00	3	
4698553.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	9	-22.00	86.61	58.00	3	
4698542.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	3	-17.67	82.18	52.33	1	
4698574.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	2	-19.50	83.41	53.00	2	
4698551.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	2	-25.00	85.05	66.50	2	
4698569.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	7	-17.60	86.02	50.80	2	
4698548.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1	-10.00	80.00	40.00	1	
4698562.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1	-13.00	78.00	50.00	1	
4698582.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	4	-17.75	78.56	56.50	2	
4698577.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	9	-19.67	84.61	55.00	2	
4698560.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	11	-18.12	85.07	51.25	4	
4698570.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	3	-11.33	91.27	34.67	3	
4698546.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	9	-18.22	82.43	55.45	3	
4698578.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	4	-16.67	77.29	52.00	3	
4698553.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	8	-18.33	79.78	53.45	6	
4698542.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	7	-17.00	81.67	51.14	3	
4698574.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	5	-10.80	83.99	38.20	5	
4698551.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	6	-14.33	84.99	43.50	5	
4698569.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	8	-19.00	77.95	53.86	4	
4698548.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	12	-14.33	87.21	43.58	5	
4698562.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	1	-13.00	75.00	44.00	1	
4698582.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	12	-16.92	84.58	50.33	5	
4698577.3	Nitrogen Metabolism	-	Allantoin Utilization	Ureidoglycolate hydrolase (EC 3.5.3.19)	16	-11.00	82.44	39.33	5	
4698578.3	Nitrogen Metabolism	-	Amidase clustered with urea and nitrile hydratase functions	Amidase clustered with urea ABC transporter and nitrile hydratase functions	1	-5.00	70.37	27.00	1	
4698542.3	Nitrogen Metabolism	-	Amidase clustered with urea and nitrile hydratase functions	Amidase clustered with urea ABC transporter and nitrile hydratase functions	1	-5.00	70.37	27.00	1	
4698560.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	456	-24.16	94.08	58.00	36	
4698570.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	137	-19.38	91.60	50.23	34	
4698546.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	182	-21.50	92.37	54.39	30	
4698578.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	525	-23.77	91.77	58.55	48	
4698553.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	326	-21.84	94.36	53.93	26	
4698542.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	150	-18.83	93.56	48.84	27	
4698574.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	147	-21.71	91.69	54.99	28	
4698551.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	350	-21.81	93.72	53.94	29	
4698569.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	249	-22.98	94.24	55.95	22	
4698548.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	425	-21.03	92.08	53.53	41	
4698554.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	72	-20.31	92.79	51.65	17	
4698562.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	74	-23.82	92.89	58.17	19	
4698582.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	554	-22.66	92.39	56.34	44	
4698577.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter	459	-20.56	93.05	52.27	46	
4698560.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	59	-19.64	99.67	46.70	2	
4698570.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	31	-17.92	99.36	44.15	3	
4698546.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	31	-18.14	99.71	44.14	3	
4698578.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	20	-16.90	99.17	42.35	2	
4698553.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	33	-16.00	99.75	40.64	1	
4698542.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	25	-17.20	99.45	43.20	3	
4698574.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	30	-19.52	99.78	46.88	2	
4698551.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	45	-17.78	99.61	43.31	2	
4698569.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	34	-17.44	99.76	42.74	1	
4698548.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	76	-19.04	97.85	47.27	5	
4698554.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	3	-23.00	100.00	50.67	1	
4698562.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	3	-24.00	100.00	52.00	1	
4698582.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	94	-19.00	98.56	46.42	4	
4698577.3	Nitrogen Metabolism	-	Ammonia assimilation	Ammonium transporter family	88	-19.52	99.53	46.50	3	
4698560.3	Nitrogen Metabolism	-	Ammonia assimilation	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	372	-22.66	94.71	54.05	28	
4698570.3	Nitrogen Metabolism	-	Ammonia assimilation	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	132	-19.78	95.19	49.16	19	
4698546.3	Nitrogen Metabolism	-	Ammonia assimilation	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	168	-21.42	95.14	52.34	21	
4698578.3	Nitrogen Metabolism	-	Ammonia assimilation	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	346	-22.93	91.35	56.16	27	
4698553.3	Nitrogen Metabolism	-	Ammonia assimilation	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	258	-21.99	94.98	52.92	25	
4698542.3	Nitrogen Metabolism	-	Ammonia assimilation	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	169	-18.83	95.62	47.81	19	
4698574.3	Nitrogen Metabolism	-	Ammonia assimilation	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	145	-23.71	94.51	56.05	18	
4698551.3	Nitrogen Metabolism	-	Ammonia assimilation	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	280	-20.52	94.72	50.41	29	
4698569.3	Nitrogen Metabolism	-	Ammonia assimilation	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	267	-22.72	94.24	54.82	22	
4698548.3	Nitrogen Metabolism	-	Ammonia assimilation	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	494	-21.75	94.89	52.74	33	
4698554.3	Nitrogen Metabolism	-	Ammonia assimilation	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	49	-21.47	91.19	53.16	15	
4698562.3	Nitrogen Metabolism	-	Ammonia assimilation	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	47	-20.50	92.64	51.11	14	
4698582.3	Nitrogen Metabolism	-	Ammonia assimilation	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	543	-22.09	94.50	53.47	38	
4698577.3	Nitrogen Metabolism	-	Ammonia assimilation	Ferredoxin-dependent glutamate synthase (EC 1.4.7.1)	367	-20.99	94.95	51.55	29	
4698560.3	Nitrogen Metabolism	-	Ammonia assimilation	Global nitrogen regulatory protein, CRP family of transcriptional regulators	36	-15.96	99.40	43.52	4	
4698570.3	Nitrogen Metabolism	-	Ammonia assimilation	Global nitrogen regulatory protein, CRP family of transcriptional regulators	15	-17.38	99.38	46.54	6	
4698546.3	Nitrogen Metabolism	-	Ammonia assimilation	Global nitrogen regulatory protein, CRP family of transcriptional regulators	21	-14.88	99.37	41.94	4	
4698578.3	Nitrogen Metabolism	-	Ammonia assimilation	Global nitrogen regulatory protein, CRP family of transcriptional regulators	25	-15.14	99.45	42.23	6	
4698553.3	Nitrogen Metabolism	-	Ammonia assimilation	Global nitrogen regulatory protein, CRP family of transcriptional regulators	25	-18.19	99.02	47.72	4	
4698542.3	Nitrogen Metabolism	-	Ammonia assimilation	Global nitrogen regulatory protein, CRP family of transcriptional regulators	21	-14.38	98.85	41.50	5	
4698574.3	Nitrogen Metabolism	-	Ammonia assimilation	Global nitrogen regulatory protein, CRP family of transcriptional regulators	13	-18.36	99.58	47.82	4	
4698551.3	Nitrogen Metabolism	-	Ammonia assimilation	Global nitrogen regulatory protein, CRP family of transcriptional regulators	28	-15.30	98.80	42.96	5	
4698569.3	Nitrogen Metabolism	-	Ammonia assimilation	Global nitrogen regulatory protein, CRP family of transcriptional regulators	26	-17.30	99.27	45.87	4	
4698548.3	Nitrogen Metabolism	-	Ammonia assimilation	Global nitrogen regulatory protein, CRP family of transcriptional regulators	36	-17.11	99.39	45.68	4	
4698554.3	Nitrogen Metabolism	-	Ammonia assimilation	Global nitrogen regulatory protein, CRP family of transcriptional regulators	3	-11.67	100.00	35.33	2	
4698562.3	Nitrogen Metabolism	-	Ammonia assimilation	Global nitrogen regulatory protein, CRP family of transcriptional regulators	3	-12.00	100.00	36.00	1	
4698582.3	Nitrogen Metabolism	-	Ammonia assimilation	Global nitrogen regulatory protein, CRP family of transcriptional regulators	38	-19.53	99.24	49.80	5	
4698577.3	Nitrogen Metabolism	-	Ammonia assimilation	Global nitrogen regulatory protein, CRP family of transcriptional regulators	39	-19.38	98.88	50.00	6	
4698560.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	948	-27.18	94.67	62.11	48	
4698570.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	214	-22.88	92.01	56.08	34	
4698546.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	313	-27.29	93.33	62.81	40	
4698578.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	1239	-27.09	93.47	62.77	48	
4698553.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	787	-27.81	97.12	61.60	38	
4698542.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	193	-23.52	94.11	56.18	38	
4698574.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	220	-25.68	91.97	61.38	44	
4698551.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	793	-24.93	95.33	57.72	46	
4698569.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	776	-28.57	97.37	62.89	35	
4698548.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	1088	-24.82	93.47	58.72	66	
4698554.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	156	-24.63	94.10	58.16	25	
4698562.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	173	-26.84	93.61	62.07	25	
4698582.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	1309	-26.83	93.26	62.31	66	
4698577.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] large chain (EC 1.4.1.13)	931	-24.20	93.51	57.72	59	
4698560.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] putative GlxC chain (EC 1.4.1.13)	3	-29.00	82.95	73.67	3	
4698570.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] putative GlxC chain (EC 1.4.1.13)	3	-15.33	91.66	45.67	3	
4698546.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] putative GlxC chain (EC 1.4.1.13)	8	-21.12	87.52	55.88	4	
4698578.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] putative GlxC chain (EC 1.4.1.13)	3	-25.67	91.39	61.33	3	
4698553.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] putative GlxC chain (EC 1.4.1.13)	5	-13.60	82.86	45.00	2	
4698542.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] putative GlxC chain (EC 1.4.1.13)	7	-17.50	92.49	47.50	4	
4698574.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] putative GlxC chain (EC 1.4.1.13)	2	-27.00	76.53	77.00	1	
4698551.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] putative GlxC chain (EC 1.4.1.13)	3	-27.67	92.80	64.33	1	
4698569.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] putative GlxC chain (EC 1.4.1.13)	6	-16.80	88.84	48.60	4	
4698548.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] putative GlxC chain (EC 1.4.1.13)	6	-19.17	81.24	56.83	2	
4698582.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] putative GlxC chain (EC 1.4.1.13)	8	-19.50	84.13	55.38	3	
4698577.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] putative GlxC chain (EC 1.4.1.13)	10	-16.43	91.49	46.00	5	
4698560.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	197	-27.54	94.65	61.92	15	
4698570.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	59	-23.00	91.89	55.41	15	
4698546.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	73	-25.90	93.20	60.14	12	
4698578.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	239	-28.07	93.31	63.32	20	
4698553.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	134	-28.78	96.88	62.45	9	
4698542.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	64	-21.08	92.68	52.25	15	
4698574.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	58	-26.02	91.61	61.29	15	
4698551.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	151	-26.18	94.98	59.20	14	
4698569.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	153	-28.63	96.86	62.45	9	
4698548.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	213	-25.01	93.21	58.02	20	
4698554.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	27	-27.77	94.01	62.42	6	
4698562.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	31	-28.83	95.10	63.77	7	
4698582.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	242	-27.08	92.00	62.52	23	
4698577.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	203	-25.46	93.45	58.83	15	
4698560.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate-ammonia-ligase adenylyltransferase (EC 2.7.7.42)	294	-23.06	86.26	60.58	12	
4698570.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate-ammonia-ligase adenylyltransferase (EC 2.7.7.42)	91	-23.81	85.03	62.45	12	
4698546.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate-ammonia-ligase adenylyltransferase (EC 2.7.7.42)	110	-21.43	86.44	57.70	11	
4698578.3	Nitrogen Metabolism	-	Ammonia assimilation	Glutamate-ammonia-ligase adenylyltransferase (EC 2.7.7.42)	375	-24.16	87.38	61.97	13	
